model,transmission,body_type,drive_type,color,production_year,auto_key,engine_capacity,horsepower,engine_type,price,milage
Honda HR-V I,вариатор,внедорожник 3 дв.,полный,серебристый,1998,1089160664,1.6,105,Бензин,260000,198000
Honda Civic VII,автомат,седан,передний,серебристый,2002,1097493526,1.7,115,Бензин,250000,391000
Honda Accord VIII,автомат,седан,передний,серебристый,2008,1093050410,2.4,201,Бензин,720000,185000
Honda CR-V II,автомат,внедорожник 5 дв.,полный,серебристый,2003,1094944152,2.0,150,Бензин,500000,370000
Honda Civic VIII,автомат,седан,передний,чёрный,2008,1095466368,1.8,140,Бензин,470000,183000
Honda Civic VIII,робот,хэтчбек 5 дв.,передний,красный,2007,1097476280,1.8,140,Бензин,340000,260000
Honda HR-V I,вариатор,внедорожник 3 дв.,полный,синий,1998,1095891376,1.6,124,Бензин,210000,299000
Honda CR-V II,автомат,внедорожник 5 дв.,полный,красный,2003,1099639180,2.4,162,Бензин,480000,153616
Honda Stream I,автомат,компактвэн,передний,белый,2003,1100301600,1.7,130,Бензин,320000,180000
Honda HR-V I,вариатор,внедорожник 3 дв.,передний,белый,1998,1088545948,1.6,105,Бензин,250000,320000
Honda Vigor III,автомат,седан,передний,пурпурный,1994,1099317956,2.5,190,Бензин,75000,304000
Honda CR-V I Рестайлинг,автомат,внедорожник 5 дв.,полный,серебристый,1999,1100259810,2.0,147,Бензин,305000,220000
Honda CR-V I,автомат,внедорожник 5 дв.,полный,серый,1995,1097031792,2.0,128,Бензин,330000,300000
Honda Stream I,автомат,компактвэн,передний,серый,2002,1099256296,1.7,130,Бензин,320000,250000
Honda Civic VIII,автомат,седан,передний,серебристый,2006,1098345708,1.8,140,Бензин,380000,199000
Honda Concerto,механика,хэтчбек 5 дв.,передний,серебристый,1992,1093119894,1.6,112,Бензин,80000,126000
Honda Accord  VII Sport,автомат,седан,передний,красный,2004,1095605282,2.0,155,Бензин,390000,225000
Honda CR-V I,механика,внедорожник 5 дв.,полный,синий,1998,1099777382,2.0,128,Бензин,250000,380000
Honda Shuttle I,автомат,компактвэн,передний,синий,1998,1098260976,2.3,150,Бензин,200000,287000
Honda Civic VIII,механика,седан,передний,серебристый,2008,1096867482,1.8,140,Бензин,410000,168000
Honda Civic VIII,автомат,седан,передний,голубой,2008,1099419794,1.8,140,Бензин,430000,276800
Honda Accord V,механика,седан,передний,синий,1995,1096131208,2.0,115,Бензин,110000,243000
Honda CR-V III,автомат,внедорожник 5 дв.,полный,коричневый,2008,1100195486,2.4,166,Бензин,850000,214000
Honda Civic VI,автомат,хэтчбек 5 дв.,передний,синий,1998,1093575214,1.4,90,Бензин,260000,340000
Honda Civic VIII,автомат,седан,передний,серебристый,2006,1099918846,1.8,140,Бензин,355000,192000
Honda Accord VII Рестайлинг,автомат,седан,передний,красный,2006,1098491078,2.4,190,Бензин,410000,203000
Honda HR-V I,вариатор,внедорожник 5 дв.,полный,серебристый,2000,1094327286,1.6,105,Бензин,300000,251400
Honda Accord VIII,автомат,седан,передний,красный,2008,1099533822,2.0,156,Бензин,590000,219000
Honda Accord VII Рестайлинг,автомат,седан,передний,красный,2006,1098491078,2.4,190,Бензин,410000,203000
Honda Accord IV,механика,универсал 5 дв.,передний,синий,1992,1100087194,2.2,150,Бензин,110000,394000
Honda Accord  VII Рестайлинг Sport,автомат,седан,передний,красный,2007,1094288624,2.0,155,Бензин,450000,200000
Honda Domani II,автомат,седан,передний,фиолетовый,1997,1099893310,1.6,120,Бензин,230000,275000
Honda CR-V I,автомат,внедорожник 5 дв.,полный,серый,1997,1098048788,2.0,145,Бензин,450000,400000
Honda Logo,вариатор,хэтчбек 3 дв.,передний,серебристый,1999,1096225006,1.3,91,Бензин,145000,270000
Honda Civic VIII,механика,седан,передний,золотистый,2008,1094978118,1.8,140,Бензин,395000,260000
Honda Civic VIII,автомат,седан,передний,серебристый,2007,1097126288,1.8,140,Бензин,530000,205000
Honda Shuttle I,автомат,компактвэн,передний,синий,1996,1094330204,2.2,150,Бензин,210000,420000
Honda Accord VII Рестайлинг,автомат,седан,передний,коричневый,2007,1098067632,2.0,155,Бензин,470000,305000
Honda HR-V I,механика,внедорожник 3 дв.,передний,серебристый,1999,1092459348,1.6,105,Бензин,279000,225000
Honda Concerto,автомат,хэтчбек 5 дв.,передний,белый,1988,1097042566,1.5,90,Бензин,65000,270000
Honda Odyssey I,автомат,компактвэн,передний,белый,1999,1092511636,2.3,150,Бензин,299000,320000
Honda Accord VIII,автомат,седан,передний,синий,2008,1079092182,2.4,201,Бензин,700000,225000
Honda Accord  VII Рестайлинг Sport,автомат,седан,передний,серый,2007,1099573970,2.0,155,Бензин,495000,233000
Honda Civic VIII,автомат,седан,передний,чёрный,2008,1093671886,1.8,140,Бензин,440000,237000
Honda Accord  VII Sport,автомат,седан,передний,серебристый,2005,1098861182,2.0,155,Бензин,435000,237000
Honda CR-V II,механика,внедорожник 5 дв.,полный,серебристый,2002,1097718688,2.0,150,Бензин,420000,280000
Honda Shuttle I,автомат,компактвэн,передний,серебристый,1998,1096790612,2.2,150,Бензин,160000,200000
Honda Shuttle I,автомат,компактвэн,передний,серый,1997,1098354284,2.2,150,Бензин,250000,267000
Honda Accord V,механика,седан,передний,чёрный,1994,1094253156,2.0,115,Бензин,160000,416000
Honda Avancier I,автомат,универсал 5 дв.,полный,чёрный,1999,1090367370,2.3,150,Бензин,355000,300000
Honda Civic VIII,робот,хэтчбек 5 дв.,передний,серый,2007,1097435812,1.8,140,Бензин,450000,252000
